Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Issue,Part Number,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record
J,"Chalal, ML; Benachir, M; White, M; Shrahily, R",,,,"Chalal, Moulay Larbi; Benachir, Medjdoub; White, Michael; Shrahily, Raid",,,Energy planning and forecasting approaches for supporting physical improvement strategies in the building sector: A review,RENEWABLE & SUSTAINABLE ENERGY REVIEWS,,,English,Review,,,,,,Urban energy planning; Smart cities; Future cities; Energy forecasting; Building sector,ARTIFICIAL NEURAL-NETWORKS; RESIDENTIAL BUILDINGS; MODELING TECHNIQUES; REGRESSION-ANALYSIS; ENVELOPE DESIGN; URBAN SCALE; CONSUMPTION; PREDICTION; GIS; PERFORMANCE,"The strict CO2 emission targets set to tackle the global climate change associated with greenhouse gas emission exerts so much pressure on our cities which contribute up to 75% of the global carbon dioxide emission level, with buildings being the largest contributor [1]. Premised on this fact, urban planners are required to implement proactive energy planning strategies not only to meet these targets but also ensure that future cities development is performed in a way that promotes energy-efficiency. This article gives an overview of the state-of-art of energy planning and forecasting approaches for aiding physical improvement strategies in the building sector. Unlike previous reviews, which have addressed mainly the strengths as well as weaknesses of some of the approaches while referring to some relevant examples from the literature, this article focuses on critically analysing more approaches namely; 2D GIS and 3DGIS (CityGML) based energy prediction approaches, based on their frequent intervention scale, applicability in the building life cycle, and conventional prediction process. This will be followed by unravelling the gaps and issues pertaining to the reviewed approaches. Finally, based on the identified problems, future research prospects are recommended. (C) 2016 Elsevier Ltd. All rights reserved.","[Chalal, Moulay Larbi; Benachir, Medjdoub; White, Michael; Shrahily, Raid] Nottingham Trent Univ, Sch Architecture Design & Built Environm, Creat & Virtual Technol Lab, Nottingham NG1 4BU, England",Nottingham Trent University,"Chalal, ML (corresponding author), Nottingham Trent Univ, Sch Architecture Design & Built Environm, Creat & Virtual Technol Lab, Nottingham NG1 4BU, England.",Moulay.Chalal2014@my.ntu.ac.uk,"Medjdoub, Benachir/GLS-8142-2022","Shrahily, Raid/0000-0002-9664-1974; Medjdoub, Benachir/0000-0002-3402-4479",,,,,88,49,50,6,66,PERGAMON-ELSEVIER SCIENCE LTD,OXFORD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND",1364-0321,,,RENEW SUST ENERG REV,Renew. Sust. Energ. Rev.,OCT,2016,,,,,761,776,,10.1016/j.rser.2016.06.040,http://dx.doi.org/10.1016/j.rser.2016.06.040,,,16,Green & Sustainable Science & Technology; Energy & Fuels,Science Citation Index Expanded (SCI-EXPANDED),Science & Technology - Other Topics; Energy & Fuels,DT9OW,,Green Accepted,,,12/21/22,WOS:000381833200056,View Full Record in Web of Science
C,"El-Araby, E; Taher, M; El-Ghazawi, T; Le Moigne, J",,"Brebner, G; Chakraborty, S; Wong, WF",,"El-Araby, E; Taher, M; El-Ghazawi, T; Le Moigne, J",,,Prototyping automatic cloud cover assessment (ACCA) algorithm for remote sensing on-board processing on a reconfigurable computer,"FPT 05: 2005 IEEE INTERNATIONAL CONFERENCE ON FIELD PROGRAMMABLE TECHNOLOGY, PROCEEDINGS",,,English,Proceedings Paper,4th IEEE International Conference on Field Programmable Technology,"DEC 11-14, 2005","Natl Univ Singapore, Singapore, SINGAPORE",IEEE,Natl Univ Singapore,,,"Clouds have a critical role in many studies, e.g. weather- and climate-related studies. However, the v represent a source of errors in many applications, and the presence of cloud contamination can hinder the use of satellite data. This requires a cloud detection process to mask out cloudy pixels from further processing. The trend for remote sensing satellite missions has always been towards smaller size, lower cost, more flexibility, and higher computational power. Reconfigurable Computers (RCs) combine the flexibility of traditional microprocessors with the power of Field Programmable Gate Arrays (FPGAs). There fibre, PCs are a promising candidate for on-board preprocessing. This paper presents the design and implementation of an RC-based real-time cloud detection system. We investigate the potential of using RCs for on-board preprocessing by prototyping the Landsat 7 ETM+ ACCA algorithm on one of the state-of-the art reconfigurable platforms, SRC-6E. Although a reasonable amount of investigations of the ACCA cloud detection algorithm using FPGAs has been reported in the literature, very few details/results were provided and/or limited contributions were accomplished. Our work has been proven to provide higher performance and higher detection accuracy.","George Washington Univ, Washington, DC 20052 USA",George Washington University,"El-Araby, E (corresponding author), George Washington Univ, Washington, DC 20052 USA.",esam@gwu.edu; mtaher@gwu.edu; tarek@gwu.edu; lemoigne@backserv.gsfc.nasa.gov,,"Taher, Mohamed/0000-0002-4808-4018; El-Araby, Esam/0000-0002-4575-1049",,,,,6,8,8,0,1,IEEE,NEW YORK,"345 E 47TH ST, NEW YORK, NY 10017 USA",,,0-7803-9407-0,,,,2005,,,,,207,214,,10.1109/FPT.2005.1568548,http://dx.doi.org/10.1109/FPT.2005.1568548,,,8,"Computer Science, Hardware & Architecture",Conference Proceedings Citation Index - Science (CPCI-S),Computer Science,BDR71,,,,,12/21/22,WOS:000235126400025,View Full Record in Web of Science
J,"Silva, B; Prieto, B; Rivas, T; Sanchez-Biezma, MJ; Paz, G; Carballal, R",,,,"Silva, B; Prieto, B; Rivas, T; Sanchez-Biezma, MJ; Paz, G; Carballal, R",,,Rapid biological colonization of a granitic building by lichens,INTERNATIONAL BIODETERIORATION & BIODEGRADATION,,,English,Article; Proceedings Paper,IIIrd International Symposium on Biodeterioration and Biodegradation,"JUL 03-05, 1996","SANTIAGO COMPOSTE, SPAIN","Spanish Soc Microbiol, Biodeteriorat Specialists Grp,Univ Santiago Compostela, Dept Soil Sci",,,,"The Galician Centre of Contemporary Art (Santiago de Compostela, Spain) is a large, modern building finished with a granitic cladding. Completed in September 1993, it is already showing signs of deterioration, including biological colonization and intense blackening of exterior surfaces, and the breaking off of cladding. In this work we investigated the causes of this premature deterioration. Biological colonization was most intense on the lower areas of shaded walls, the most abundant organisms being the lichens Trapelia coarctata and T. involuta. The blackening was chiefly due to the build up of microorganisms or their remains (no elements indicative of atmospheric pollution were detected). Both the cladding and granite from the source quarry showed signs of severe weathering (fissuration, high porosity, the presence of kaolinite) and had high capillarity, rapidly absorbing large amounts of water and releasing it only slowly. Because of this and the wet climate in Santiago the cladding was almost permanently damp, which, together with its weathered condition, made it highly bioreceptive and, at the same timer reduced its mechanical resistance, making it susceptible to breakage. (C) 1997 Elsevier Science Ltd. All rights reserved.","Univ Santiago, Fac Farm, Dept Edafol, Santiago De Compostela 15706, Spain; Univ Santiago, Fac Biol, Dept Biol Vegetal, Santiago De Compostela 15701, Spain",Universidade de Santiago de Compostela; Universidade de Santiago de Compostela,"Silva, B (corresponding author), Univ Santiago, Fac Farm, Dept Edafol, Santiago De Compostela 15706, Spain.",,"brea, teresa rivas/L-7031-2014; brea, teresa rivas/AAM-8465-2020; Paz-Bermúdez, Graciela/V-7555-2017; Prieto, B./K-5837-2014","brea, teresa rivas/0000-0003-1694-5167; brea, teresa rivas/0000-0003-1694-5167; Prieto, B./0000-0001-9243-6829; Silva Hermo, Benita/0000-0002-6046-3264",,,,,7,32,32,0,4,ELSEVIER SCI LTD,OXFORD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND",0964-8305,,,INT BIODETER BIODEGR,Int. Biodeterior. Biodegrad.,SEP-DEC,1997,4-Feb,,,,263,267,,10.1016/S0964-8305(97)00051-6,http://dx.doi.org/10.1016/S0964-8305(97)00051-6,,,5,Biotechnology & Applied Microbiology; Environmental Sciences,Conference Proceedings Citation Index - Science (CPCI-S); Science Citation Index Expanded (SCI-EXPANDED),Biotechnology & Applied Microbiology; Environmental Sciences & Ecology,ZK878,,,,,12/21/22,WOS:000073372900024,View Full Record in Web of Science
J,"Sorbet, J; Fernandez-Peruchena, C; Zaversky, F; Chakroun, W; Alotaibi, SA; Ahmed, M; Sanchez, M; Garcia-Barberena, J",,,,"Sorbet, Javier; Fernandez-Peruchena, Carlos; Zaversky, Fritz; Chakroun, Walid; Alotaibi, Sorour A.; Ahmed, Mansour; Sanchez, Marcelino; Garcia-Barberena, Javier",,,"Performance Assessment of Seawater, Wet and Dry Cooling in a 50-MW Parabolic Trough Collectors Concentrated Solar Power Plant in Kuwait",JOURNAL OF SOLAR ENERGY ENGINEERING-TRANSACTIONS OF THE ASME,,,English,Article,,,,,,concentrated solar power; parabolic trough collectors; solar plant performance; solar plant transient modeling; Rankine cycle simulation; cooling systems; collector; parabolic trough; simulation; solar; storage; thermal power,MOLTEN-SALT; SIMULATION; SYSTEM,"Kuwait is a country with great potential for concentrated solar power (CSP) due to its high solar resource. The current work analyzes the potential of the application of CSP technology in the country and its particularities. Specifically, the current work examines a CSP plant with parabolic trough collector (PTC) technology and how this technology is affected in its performance depending on the location (inland or coastal) and the refrigeration system (wet, dry, or seawater cooled). The modeling methodology is based on a two-step approach: first, the Rankine steam power cycle is modeled in detail in a state-of-the-art steady-state simulation environment, obtaining the performance of the power cycle for each cooling technology; second, the power cycle performance maps are integrated into a detailed transient system-level simulation model of the complete CSP plant in order to perform annual yield simulations for the different representative locations of the climate of Kuwait. These results provide valuable information on both the potential of this technology for its more immediate application such as electricity generation and other future applications such as the desalination of seawater where the location must necessarily be coastal.","[Sorbet, Javier; Fernandez-Peruchena, Carlos; Zaversky, Fritz; Alotaibi, Sorour A.; Sanchez, Marcelino; Garcia-Barberena, Javier] CENER Natl Renewable Energy Ctr Spain, Dept Solar Energy Technol & Storage, C Ciudad Innovac 7, Sarriguren 31621, Spain; [Chakroun, Walid; Alotaibi, Sorour A.] Kuwait Univ, Coll Engn & Petr, Dept Mech Engn, POB 5969, Kuwait 13060, Kuwait; [Ahmed, Mansour] Kuwait Inst Sci Res, Water Res Ctr, POB 24885, Kuwait 13109, Kuwait",Kuwait University; Kuwait Institute for Scientific Research,"Sorbet, J (corresponding author), CENER Natl Renewable Energy Ctr Spain, Dept Solar Energy Technol & Storage, C Ciudad Innovac 7, Sarriguren 31621, Spain.",psorbet@cener.com; cfernandez@cener.com; fzaversky@cener.com; wchakroun@gmail.com; sr.alotaibi@ku.edu.kw; mahmed@kisr.edu.kw; msanchez@cener.com; jgbarberena@cener.com,,"Zaversky, Fritz/0000-0001-6905-3811",Kuwait Foundation for the Advancement of Sciences (KFAS) [PP1975EM01],Kuwait Foundation for the Advancement of Sciences (KFAS)(Kuwait Foundation for the Advancement of Sciences (KFAS)),The authors would like to express their deepest gratitude to the Kuwait Foundation for the Advancement of Sciences (KFAS) for funding this research under Grant No. PP1975EM01.,,35,0,0,3,3,ASME,NEW YORK,"TWO PARK AVE, NEW YORK, NY 10016-5990 USA",0199-6231,1528-8986,,J SOL ENERG-T ASME,J. Sol. Energy Eng. Trans.-ASME,1-Aug,2022,4,,,,,,41007,10.1115/1.4053623,http://dx.doi.org/10.1115/1.4053623,,,12,"Energy & Fuels; Engineering, Mechanical",Science Citation Index Expanded (SCI-EXPANDED),Energy & Fuels; Engineering,2P0ZN,,,,,12/21/22,WOS:000819480400008,View Full Record in Web of Science
J,"Smart, PDS; Thanammal, KK; Sujatha, SS",,,,"Smart, P. D. Sheena; Thanammal, K. K.; Sujatha, S. S.",,,A novel linear assorted classification method based association rule mining with spatial data,SADHANA-ACADEMY PROCEEDINGS IN ENGINEERING SCIENCES,,,English,Article,,,,,,Classification; Pareto; association rule; mining; spatial data,,"Spatial data classification and extraction is a significant problem to be resolved in data mining. The classification performance of existing techniques was not effectual to accurately mine the interesting spatial data. Furthermore, the amount of time taken for classifying the spatial data location was very higher. In order to resolve the above limitations, an Exponentiated Pareto based linear assorted classification method is introduced to reduce the incorrect classification of spatial data. This paper begins with a discussion of traditional methods of spatial data mining. The algorithm makes an association rule with spatial data objects. The technique conducts the experimental works using metrics such as classification accuracy, time complexity, space complexity and false positive rate with respect to different number of data. The proposed approach takes the forest fire dataset and El Nino dataset as input and predicts the burned area of forest fires and weather and climate conditions. The experimental results show that the proposed technique is able to increase the classification accuracy and reduce the time complexity as well as space complexity and false positive rate of spatial data mining as compared to state-of-the-art works.","[Smart, P. D. Sheena; Thanammal, K. K.; Sujatha, S. S.] Manonmaniam Sundaranar Univ, Dept Comp Sci, ST Hindu Coll, Tirunelveli 627012, India",Manonmaniam Sundaranar University,"Smart, PDS (corresponding author), Manonmaniam Sundaranar Univ, Dept Comp Sci, ST Hindu Coll, Tirunelveli 627012, India.",sheena2021@gmail.com; thanaravindran@gmail.com; sujaajai@gmail.com,,,,,,,25,3,3,2,11,SPRINGER INDIA,NEW DELHI,"7TH FLOOR, VIJAYA BUILDING, 17, BARAKHAMBA ROAD, NEW DELHI, 110 001, INDIA",0256-2499,0973-7677,,SADHANA-ACAD P ENG S,Sadhana-Acad. Proc. Eng. Sci.,2-Feb,2021,1,,,,,,7,10.1007/s12046-020-01548-2,http://dx.doi.org/10.1007/s12046-020-01548-2,,,12,"Engineering, Multidisciplinary",Science Citation Index Expanded (SCI-EXPANDED),Engineering,QF2YA,,,,,12/21/22,WOS:000616764400006,View Full Record in Web of Science
J,"Colding, J; Wallhagen, M; Sorqyist, P; Marcus, L; Hillman, K; Samuelsson, K; Barthel, S",,,,"Colding, Johan; Wallhagen, Marita; Sorqyist, Patrik; Marcus, Lars; Hillman, Karl; Samuelsson, Karl; Barthel, Stephan",,,Applying a Systems Perspective on the Notion of the Smart City,SMART CITIES,,,English,Article,,,,,,smart city; ICT; built environment; digital technology; urban design and architecture; biodiversity; nature-based solutions; resilience,ENVIRONMENTAL KUZNETS CURVE; COMMUNICATION TECHNOLOGY; FOOD-PRODUCTION; ENERGY USE; URBAN; CITIES; RESILIENCE; INFORMATION; IMPACTS; GREEN,"This paper focuses on the need for a widened definition of the notion of technology within the smart city discourse, with a particular focus on the built environment. The first part of the paper describes how current tendencies in urban design and architecture are inclined to prioritize high tech-solutions at the expense of low-tech functionalities and omits that information and communication technology (ICT) contrasts the art of building cities as an adaptable and habitually smart technology in itself. It continues with an elaboration on the need for expanding the limits of system boundaries for a better understanding of the energy and material telecouplings that are linked to ICT solutions and account for some perils inherent in smart technologies, such as rebound effects and the difficulty of measuring the environmental impacts of ICT solutions on a city level. The second part of the paper highlights how low-tech technologies and nature-based solutions can make cities smarter, representing a new technology portfolio in national and international policies for safeguarding biodiversity and the delivery of a range of ecosystem services, promoting the necessary climate-change adaption that cities need to prioritize to confer resilience.","[Colding, Johan; Wallhagen, Marita; Sorqyist, Patrik; Hillman, Karl; Barthel, Stephan] Univ Gavle, Dept Bldg Engn Energy Syst & Sustainabil Sci, Kungsbacksvagen 47, S-80176 Gavle, Sweden; [Colding, Johan] Royal Swedish Acad Sci, Beijer Inst Ecol Econ, Box 50005, S-10405 Stockholm, Sweden; [Marcus, Lars] Chalmers Univ Technol, Dept Architecture & Civil Engn, S-41296 Gothenburg, Sweden; [Samuelsson, Karl] Univ Gavle, Dept Comp & Geospatial Sci, Kungsbacksvagen 47, S-80176 Gavle, Sweden; [Barthel, Stephan] Stockholm Univ, Stockholm Resilience Ctr, Kraftriket 2B, S-11419 Stockholm, Sweden",University of Gavle; Royal Swedish Academy of Sciences; Beijer Institute of Ecological Economics; Chalmers University of Technology; University of Gavle; Stockholm University,"Colding, J (corresponding author), Univ Gavle, Dept Bldg Engn Energy Syst & Sustainabil Sci, Kungsbacksvagen 47, S-80176 Gavle, Sweden.;Colding, J (corresponding author), Royal Swedish Acad Sci, Beijer Inst Ecol Econ, Box 50005, S-10405 Stockholm, Sweden.",Johan.Colding@hig.se; marita.wallhagen@hig.se; patrik.sorqvist@hig.se; lars.marcus@chalmers.se; karl.hillman@hig.se; Karl.Samuelsson@hig.se; stephan.barthel@hig.se,,"Colding, Johan/0000-0001-7644-7448; barthel, stephan/0000-0003-2637-2024","Department of Building Engineering, Energy Systems and Sustainability Science at the University of Gavle; FORMAS/The Swedish Research Council for Environment, Agricultural Sciences and Spatial Planning [2016-01193]; EU Interreg Central Baltic; Stockholm Resilience Centre; Department of Architecture and Civil Engineering, Chalmers University of Technology, Gothenburg, Sweden; Swedish Research Council for Environment, Agricultural Sciences and Spatial Planning (FORMAS) [2017-00937]; Beijer Institute of Ecological Economics, Stockholm, Sweden","Department of Building Engineering, Energy Systems and Sustainability Science at the University of Gavle; FORMAS/The Swedish Research Council for Environment, Agricultural Sciences and Spatial Planning(Swedish Research Council Formas); EU Interreg Central Baltic; Stockholm Resilience Centre; Department of Architecture and Civil Engineering, Chalmers University of Technology, Gothenburg, Sweden; Swedish Research Council for Environment, Agricultural Sciences and Spatial Planning (FORMAS)(Swedish Research Council Formas); Beijer Institute of Ecological Economics, Stockholm, Sweden","Johan Colding's, Stephan Barthel's, Marita Wallhagen's, Karl Samuelsson's, Patrik Sorqvist's and Karl Hillman's work have been funded by the Department of Building Engineering, Energy Systems and Sustainability Science at the University of Gavle. Barthel's work has also been funded by FORMAS/The Swedish Research Council for Environment, Agricultural Sciences and Spatial Planning. The project is called Spatial and Experiential Analyses for Urban Social Sustainability (ZEUS) (reference number: 2016-01193). Barthel's and Wallhagen's work have also been funded by EU Interreg Central Baltic. The project is called Augmented Urbans-Visionary, Participatory Planning and Integrated Management for Resilient Cities. Barthel's work is also funded by the Stockholm Resilience Centre. Lars Marcus's work has been funded by the Department of Architecture and Civil Engineering, Chalmers University of Technology, Gothenburg, Sweden. Johan Colding's work has also been partly funded through a research grant (reference number: 2017-00937) received from the Swedish Research Council for Environment, Agricultural Sciences and Spatial Planning (FORMAS), and through means provided by the Beijer Institute of Ecological Economics, Stockholm, Sweden.",,71,4,5,3,11,MDPI,BASEL,"ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND",,2624-6511,,SMART CITIES-BASEL,Smart Cities,JUN,2020,2,,,,420,429,,10.3390/smartcities3020022,http://dx.doi.org/10.3390/smartcities3020022,,,10,"Engineering, Electrical & Electronic; Urban Studies",Emerging Sources Citation Index (ESCI),Engineering; Urban Studies,SS5FZ,,"Green Published, gold",,,12/21/22,WOS:000661781700001,View Full Record in Web of Science
J,"Antonini, E; Vodola, V; Gaspari, J; De Giglio, M",,,,"Antonini, Ernesto; Vodola, Vincenzo; Gaspari, Jacopo; De Giglio, Michaela",,,Outdoor Wellbeing and Quality of Life: A Scientific Literature Review on Thermal Comfort,ENERGIES,,,English,Review,,,,,,outdoor thermal comfort; human thermal perception; thermal comfort assessment; quality of life,URBAN RESIDENTIAL COMMUNITY; PEDESTRIAN LEVEL; OPEN SPACE; ENVI-MET; BIOMETEOROLOGICAL ASSESSMENT; MITIGATION STRATEGIES; BUILT ENVIRONMENT; COOL MATERIALS; TROPICAL CITY; HEAT-ISLAND,"While indoor comfort represents a widely investigated research topic with relation to sustainable development and energy-demand reduction in the built environment, outdoor comfort remains an open field of study, especially with reference to the impacts of climate change and the quality of life for inhabitants, particularly in urban contexts. Despite the relevant efforts spent in the last few decades to advance the understanding of phenomena and the knowledge in this specific field, which obtained much evidence for the topic's relevance, a comprehensive picture of the studies, as well as a classification of the interconnected subjects and outcomes, is still lacking. This paper reports the outcomes of a literature review aimed at screening the available resources dealing with outdoor thermal comfort, in order to provide a state-of-the-art review that identifies the main topics focused by the researchers, as well as the barriers in defining suitable indexes for assessing thermal comfort in outdoor environments. Although several accurate models and software are available to quantify outdoor human comfort, the evocated state of mind of the final user still remains at the core of this uncertain process.","[Antonini, Ernesto; Vodola, Vincenzo; Gaspari, Jacopo; De Giglio, Michaela] Univ Bologna, Dept Architecture DA, Viale Risorgimento 2, I-40136 Bologna, Italy",University of Bologna,"Antonini, E (corresponding author), Univ Bologna, Dept Architecture DA, Viale Risorgimento 2, I-40136 Bologna, Italy.",ernesto.antonini@unibo.it; vincenzo.vodola2@unibo.it; jacopo.gaspari@unibo.it; michaela.degiglio@unibo.it,"Gaspari, Jacopo/AAC-5542-2019; ANTONINI, ERNESTO/C-1708-2018","Gaspari, Jacopo/0000-0002-8361-2963; ANTONINI, ERNESTO/0000-0001-9055-6149",,,,,227,9,9,15,44,MDPI,BASEL,"ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND",,1996-1073,,ENERGIES,Energies,APR,2020,8,,,,,,2079,10.3390/en13082079,http://dx.doi.org/10.3390/en13082079,,,22,Energy & Fuels,Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI),Energy & Fuels,LU9BJ,,"gold, Green Published",,,12/21/22,WOS:000538041800222,View Full Record in Web of Science
J,"Woodworth, PL",,,,"Woodworth, P. L.",,,Differences between mean tide level and mean sea level,JOURNAL OF GEODESY,,,English,Article,,,,,,Tide gauge measurements; Ocean tides; Hydrographic datums,WEST-COAST; RISE; PREDICTION; GULF; UK,"This paper discusses the differences between mean tide level (MTL) and mean sea level (MSL) as demonstrated using information from a global tide gauge data set. The roles of the two main contributors to differences between MTL and MSL (the M4 harmonic of the M2 semidiurnal tide, and the combination of the diurnal tides K1 and O1) are described, with a particular focus on the spatial scales of variation in MTL-MSL due to each contributor. Findings from the tide gauge data set are contrasted with those from a state-of-the-art global tide model. The study is of interest within tidal science, but also has practical importance regarding the type of mean level used to define land survey datums. In addition, an appreciation of MTL-MSL difference is important in the use of the historical sea level data used in climate change research, with implications for some of the data stored in international databanks. Particular studies are made of how MTL and MSL might differ through the year, and if MTL is measured in daylight hours only, as has been the practice of some national geodetic agencies on occasions in the past.","[Woodworth, P. L.] Natl Oceanog Ctr, Joseph Proudman Bldg,6 Brownlow St, Liverpool L3 5DA, Merseyside, England",NERC National Oceanography Centre,"Woodworth, PL (corresponding author), Natl Oceanog Ctr, Joseph Proudman Bldg,6 Brownlow St, Liverpool L3 5DA, Merseyside, England.",plw@noc.ac.uk,,"Woodworth, Philip/0000-0002-6681-239X",Natural Environment Research Council [noc010012] Funding Source: researchfish,Natural Environment Research Council(UK Research & Innovation (UKRI)Natural Environment Research Council (NERC)),,,40,21,21,0,9,SPRINGER,NEW YORK,"ONE NEW YORK PLAZA, SUITE 4600, NEW YORK, NY, UNITED STATES",0949-7714,1432-1394,,J GEODESY,J. Geodesy,JAN,2017,1,,,,69,90,,10.1007/s00190-016-0938-1,http://dx.doi.org/10.1007/s00190-016-0938-1,,,22,Geochemistry & Geophysics; Remote Sensing,Science Citation Index Expanded (SCI-EXPANDED),Geochemistry & Geophysics; Remote Sensing,EI2JX,,Green Accepted,,,12/21/22,WOS:000392314400006,View Full Record in Web of Science
J,"Roh, JS; Kim, S",,,,"Roh, Jung-Sim; Kim, Sareum",,,All-fabric intelligent temperature regulation system for smart clothing applications,JOURNAL OF INTELLIGENT MATERIAL SYSTEMS AND STRUCTURES,,,English,Article,,,,,,Smart textiles; all-fabric electronics; conductive yarn; textile sensors; resistive heating; thermal comfort,SENSORS,"The state-of-the-art in the field of smart interactive textiles is to develop a pure textile with smart electronics (all-fabric electronics). This article reports the production and testing of a temperature sensing and heating textile which consistently maintains a certain targeted temperature in order to provide optimal thermal comfort in everyday wear regardless of the internal microclimate and external climate conditions as well as the voltage level of the battery. The design and fabrication method of the robust, reliable, flexible, light, highly breathable, and simply constructed smart textile with dual functionality of temperature sensing and heating was explored with a metal composite embroidery yarn. The feasibility of the temperature regulating system based on the power on-off switching method referencing real-time temperature measured from the correlation between resistance and temperature of the heating metal composite embroidery yarn textile was shown. A uniform temperature distribution, a quick adjustment to a newly set temperature, and effective maintaining of a set temperature were identified. Many potential customized designs for smart garments will be possible in a wide range of fabric size, heating area, and different temperature requirement.","[Roh, Jung-Sim; Kim, Sareum] Sangmyung Univ, Dept Clothing & Text, Seoul 110743, South Korea",Sang Myung University,"Roh, JS (corresponding author), Sangmyung Univ, Dept Clothing & Text, Seoul 110743, South Korea.",jungsimroh@smu.ac.kr,,"Roh, Jung-Sim/0000-0003-4906-4059",SME convergence technology development projects [S2022048],SME convergence technology development projects,"The author(s) disclosed receipt of the following financial support for the research, authorship, and/or publication of this article: This work was supported by SME convergence technology development projects (work number: S2022048).",,19,25,28,6,162,SAGE PUBLICATIONS LTD,LONDON,"1 OLIVERS YARD, 55 CITY ROAD, LONDON EC1Y 1SP, ENGLAND",1045-389X,1530-8138,,J INTEL MAT SYST STR,J. Intell. Mater. Syst. Struct.,MAY,2016,9,,,,1165,1175,,10.1177/1045389X15585901,http://dx.doi.org/10.1177/1045389X15585901,,,11,"Materials Science, Multidisciplinary",Science Citation Index Expanded (SCI-EXPANDED),Materials Science,DK1OY,,,,,12/21/22,WOS:000374683700003,View Full Record in Web of Science
J,"Loch, CH; Terwiesch, C",,,,"Loch, CH; Terwiesch, C",,,Accelerating the process of engineering change orders: Capacity and congestion effects,JOURNAL OF PRODUCT INNOVATION MANAGEMENT,,,English,Article,,,,,,,PRODUCT DEVELOPMENT; TIME; PERFORMANCE,"Engineering change orders (ECOs) are important drivers of development costs and lean time, This article analyzes the process of administering engineering change orders in the case of the climate control system development within a large vehicle development project. This administrative process encompasses the emergence of a change (e.g., a problem or a market-driven feature change), its management approval, and final implementation. Despite strong time pressure, this process cart take several weeks, several months, and, in extreme cases, even over year. Such a long lend time is especially remarkable as the actual processing time for the change typically does not exceed 2 weeks. Based on our case study,, we develop art analytical framework that explains how such an extreme ratio between theoretical processing time and actual lean time is possible. The framework identifies congestion stemming from scarce capacity coupled with processing variability?,, as a major lean time contributor. We outline five improvement strategies that an organization can use in order to reduce ECO lend time, namely, flexible capacity: balanced workloads, merged tasks, pooling, and reduced setups and batching. (C) 1999 Elsevier Science Inc.","Univ Penn, Wharton Sch, Dept Operat & Informat Management, Philadelphia, PA 19104 USA",University of Pennsylvania,"Terwiesch, C (corresponding author), Univ Penn, Wharton Sch, Dept Operat & Informat Management, Steinberg Hall Dietrich Hall, Philadelphia, PA 19104 USA.",,"Loch, Christoph/GYQ-9175-2022",,,,,,27,65,68,0,19,ELSEVIER SCIENCE INC,NEW YORK,"655 AVENUE OF THE AMERICAS, NEW YORK, NY 10010 USA",0737-6782,,,J PROD INNOVAT MANAG,J. Prod. Innov. Manage.,MAR,1999,2,,,,145,159,,10.1016/S0737-6782(98)00042-3,http://dx.doi.org/10.1016/S0737-6782(98)00042-3,,,15,"Business; Engineering, Industrial; Management",Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI),Business & Economics; Engineering,188FG,,Green Submitted,,,12/21/22,WOS:000079835700004,View Full Record in Web of Science
